,Name,Address,Boundary,City,ES_ZONENUM,IL_HOUSE,Match_addr,NetLabel1,Programs,Ref_ID,School_ID,Track,Type,User_fld,Y,ZIP,Adjusted_SU,Class,COLO,COMMAREA,ES_ZONENM,Governance,Grades,Label_Case,NetLabel2,Network,Status,WARD,Class2,Day20Count,GeoNetwork,Long_,Marker,Match_type,Open_Status,School_Typ,Short_Name,Side,UnitName,Addr_type,ARC_Street,ARC_ZIP,BndGrShort,BoundaryGr,Class3,Grade_Cat,Grades_Short,IL_SENATE,Lat,OBJECTID_1,ORACLE_ID,Pct_along,Phone,Score,Short_Desc,Status_2024,Typenum,US_CONGR,X,fillColor,fillOpacity,POINT_X,POINT_Y,coordinates,schoolHours,afterSchoolHours,earliestDropOffTime,phone,gradesOffered,websiteURL,isTitle1Eligible,studentCount,studentCountLowIncome,studentCountBlack,studentCountHispanic,studentCountWhite,contact_url,is_edlio,is_educational_networks,contact_emails
190,MOOS,1711 N CALIFORNIA AVE,Attendance Area School,"Chicago, IL",4,3,"1711 N CALIFORNIA AVE, 60647",Network,,19500,610076,Standard,Elementary School,0,1911349.489993,60647,0.47,Attendance Area School,0,WEST TOWN,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Moos,Network ES,Network 5,M,26,,454,5,-87.696941,blue_blank,A,OPEN,Traditional,MOOS,R,Bernhard Moos Elementary School,Address,1711 N CALIFORNIA AVE,60647,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.912505,191,24551,7.41,(773)534-4340,100,Bernhard Moos ES,Underutilized,1,3,1157466.590398,#000000,1,,,"[-87.696947, 41.912513]",08:00 AM-03:00 PM,UNTIL 6:00 PM,7:45 AM,7735344340,"PK,K,1,2,3,4,5,6,7,8",https://mooselementary.org,True,432.0,279.0,57.0,308.0,44.0,https://mooselementary.org/apps/contact,False,True,
191,MOZART,2200 N HAMLIN AVE,Attendance Area School,"Chicago, IL",4,3,"2200 N HAMLIN AVE, 60647",Network,,44817,610088,Standard,Elementary School,0,1914362.580423,60647,0.63,Attendance Area School,0,LOGAN SQUARE,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Mozart,Network ES,Network 4,M,35,,484,4,-87.721888,blue_blank,A,OPEN,Traditional,MOZART,L,Wolfgang A Mozart Elementary School,Address,2200 N HAMLIN AVE,60647,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.92091,192,24611,0,(773)534-4160,100,Mozart ES,Underutilized,1,3,1150654.584337,#000000,1,,,"[-87.721894, 41.920918]",8:00 AM-3:00 PM,03:00 PM - 04:30 PM (LIMITED SEATS),07:45 AM,7735344160,"PK,K,1,2,3,4,5,6,7,8",https://mozartmustangs.org,True,500.0,368.0,32.0,428.0,21.0,https://mozartmustangs.org/apps/contact,False,True,
192,MURPHY,3539 W GRACE ST,Attendance Area School,"Chicago, IL",2,40,"3539 W GRACE ST, 60618",Network,Magnet_Cluster_Fine_Performing_Arts||,39583,610089,Standard,Elementary School,0,1925001.348188,60618,0.92,Attendance Area School,0,IRVING PARK,Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Murphy,Network ES,Network 1,M,35,,487,1,-87.716832,blue_blank,A,OPEN,Traditional,MURPHY,L,John B Murphy Elementary School,Address,3539 W GRACE ST,60618,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.950078,193,24621,57.14,(773)534-5223,100,Murphy ES,Efficient,1,3,1151954.223798,#000000,1,,,"[-87.716838, 41.950086]",08:00 AM-03:00PM,,7:50 AM,7735345223,"PK,K,1,2,3,4,5,6,7,8",http://www.murphy.cps.edu/,True,520.0,245.0,25.0,288.0,171.0,http://www.murphy.cps.edu/apps/contact,False,True,
193,NIXON,2121 N KEELER AVE,Attendance Area School,"Chicago, IL",1,3,"2121 N KEELER AVE, 60639",Network,,8613,610097,Standard,Elementary School,0,1913860.232019,60639,0.69,Attendance Area School,0,HERMOSA,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6",Nixon,Network ES,Network 4,M,35,,641,4,-87.73142,blue_blank,A,OPEN,Traditional,NIXON,R,William P Nixon Elementary School,Address,2121 N KEELER AVE,60639,K-6,"K, 1, 2, 3, 4, 5, 6",Attendance Area School,ES,PK-6,2,41.919581,194,24681,34.48,(773)534-4375,100,Nixon,Underutilized,1,3,1148063.855266,#000000,1,,,"[-87.731426, 41.919589]",07:45 AM-02:45 PM,,7:30 AM,7735344375,"PK,K,1,2,3,4,5,6",http://nixon.cps.edu,True,672.0,543.0,14.0,645.0,3.0,,,,
194,NOBEL,4127 W HIRSCH ST,Attendance Area School,"Chicago, IL",6,4,"4127 W HIRSCH ST, 60651",ISP,,29212,610098,Standard,Elementary School,0,1908970.48458,60651,0.94,Attendance Area School,0,HUMBOLDT PARK,West Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Nobel,ISP ES,ISP,M,36,,598,5,-87.729955,blue_blank,A,OPEN,Traditional,NOBEL,L,Alfred Nobel Elementary School,Address,4127 W HIRSCH ST,60651,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.906155,195,24691,92.86,(773)534-4365,100,Nobel ES,Efficient,1,3,1148497.108008,#000000,1,,,"[-87.72996, 41.906163]",7:45 AM-2:45 PM,3:00 PM- 5:30 PM,7:15 AM,7735344365,"PK,K,1,2,3,4,5,6,7,8",http://nobel.cps.edu/,True,595.0,502.0,64.0,518.0,4.0,,,,
195,WEST PARK,1425 N TRIPP AVE,Attendance Area School,"Chicago, IL",6,4,"1425 N TRIPP AVE, 60651",Network,,49934,610100,Standard,Elementary School,0,1909239.777677,60651,0.58,Attendance Area School,0,HUMBOLDT PARK,West Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",West Park,Network ES,Network 5,M,36,,425,5,-87.732443,blue_blank,A,OPEN,Traditional,WEST PARK,R,West Park Elementary Academy,Address,1425 N TRIPP AVE,60651,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.906907,196,24721,46.15,(773)534-4940,100,West Park Elem Academy,Underutilized,1,3,1147817.795063,#000000,1,,,"[-87.732449, 41.906915]",07:45 AM-02:45 PM,2:45 PM - 4:00 PM,7:30 AM,7735344940,"PK,K,1,2,3,4,5,6,7,8",https://westparkcps.org,True,446.0,375.0,73.0,357.0,12.0,https://westparkcps.org/apps/contact,False,True,
196,PORTAGE PARK,5330 W BERTEAU AVE,Attendance Area School,"Chicago, IL",1,19,"5330 W BERTEAU AVE, 60641",Network,,13775,610135,Standard,Elementary School,0,1927435.987675,60641,0.84,Attendance Area School,0,PORTAGE PARK,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Portage Park,Network ES,Network 1,M,38,,889,1,-87.761007,blue_blank,A,OPEN,Traditional,PORTAGE PARK,R,Portage Park Elementary School,Address,5330 W BERTEAU AVE,60641,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,10,41.956988,197,25011,51.72,(773)534-3576,100,Portage Park ES,Efficient,1,3,1139920.5894,#000000,1,,,"[-87.761013, 41.956995]",08:45 AM-03:45 PM,,,7735343576,"PK,K,1,2,3,4,5,6,7,8",https://portageparkschool.org,True,937.0,575.0,39.0,563.0,272.0,https://portageparkschool.org/apps/contact,False,True,
197,REILLY,3650 W SCHOOL ST,Attendance Area School,"Chicago, IL",4,40,"3650 W SCHOOL ST, 60618",Network,,589,610144,Standard,Elementary School,0,1921722.352777,60618,0.63,Attendance Area School,0,AVONDALE,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Reilly,Network ES,Network 4,M,30,,527,4,-87.719541,blue_blank,A,OPEN,Traditional,REILLY,R,Frank W Reilly Elementary School,Address,3650 W SCHOOL ST,60618,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.941094,198,25101,71.43,(773)534-5250,100,Reilly ES,Underutilized,1,3,1151240.830539,#000000,1,,,"[-87.719546, 41.941102]",07:45 AM-02:45 PM,3:00- 5:00 PM,7:45 AM,7735345250,"PK,K,1,2,3,4,5,6,7,8",http://www.reillyschool.com,True,539.0,355.0,11.0,486.0,15.0,http://www.reillyschool.com/apps/contact,False,True,
198,REINBERG,3425 N MAJOR AVE,Attendance Area School,"Chicago, IL",1,3,"3425 N MAJOR AVE, 60634",Network,,7666,610145,Standard,Elementary School,0,1922331.355496,60634,0.91,Attendance Area School,0,PORTAGE PARK,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Reinberg,Network ES,Network 1,M,30,,776,1,-87.768983,blue_blank,A,OPEN,Traditional,REINBERG,R,Peter A Reinberg Elementary School,Address,3425 N MAJOR AVE,60634,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.943019,199,25111,92.31,(773)534-3465,100,Reinberg ES,Efficient,1,3,1137784.761979,#000000,1,,,"[-87.768988, 41.943027]",09:00 AM-04:00 PM,04:00 PM- 05:15 PM,08:45 AM,7735343465,"PK,K,1,2,3,4,5,6,7,8",https://reinberg.cps.edu,True,777.0,505.0,31.0,569.0,121.0,https://reinberg.cps.edu/apps/contact,False,True,
199,SCAMMON,4201 W HENDERSON ST,Attendance Area School,"Chicago, IL",4,40,"4201 W HENDERSON ST, 60641",Network,,42452,610159,Standard,Elementary School,0,1921910.656206,60641,0.84,Attendance Area School,0,IRVING PARK,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Scammon,Network ES,Network 1,M,30,,627,1,-87.732179,blue_blank,A,OPEN,Traditional,SCAMMON,L,Jonathan Y Scammon Elementary School,Address,4201 W HENDERSON ST,60641,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.941678,200,25241,0,(773)534-3475,100,Jonathan Y Scammon ES,Efficient,1,3,1147800.918784,#000000,1,,,"[-87.732185, 41.941685]",08:00 AM-03:00 PM,,,7735343475,"PK,K,1,2,3,4,5,6,7,8",https://scammon.cps.edu,True,620.0,477.0,26.0,528.0,44.0,https://scammon.cps.edu/apps/contact,False,True,
200,SCHUBERT,2727 N LONG AVE,Attendance Area School,"Chicago, IL",1,39,"2727 N LONG AVE, 60639",Network,,16986,610165,Standard,Elementary School,0,1917748.26919,60639,0.65,Attendance Area School,0,BELMONT CRAGIN,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5",Schubert,Network ES,Network 3,M,31,,555,3,-87.76119,blue_blank,A,OPEN,Traditional,SCHUBERT,R,Franz Peter Schubert Elementary School,Address,2727 N LONG AVE,60639,K-5,"K, 1, 2, 3, 4, 5",Attendance Area School,ES,PK-5,20,41.930403,201,25291,100,(773)534-3080,100,Schubert ES,Underutilized,1,3,1139935.347901,#000000,1,,,"[-87.761196, 41.930411]",07:45 AM-02:45 PM,,7:35,7735343080,"PK,K,1,2,3,4,5",https://schubertes.org,True,569.0,421.0,4.0,537.0,24.0,https://schubertes.org/apps/contact,False,True,
201,SMYSER,4310 N MELVINA AVE,Attendance Area School,"Chicago, IL",1,19,"4310 N MELVINA AVE, 60634",Network,,35969,610179,Standard,Elementary School,0,1928083.819713,60634,0.87,Attendance Area School,0,PORTAGE PARK,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Smyser,Network ES,Network 1,M,38,,753,1,-87.781975,blue_blank,A,OPEN,Traditional,SMYSER,L,Washington D Smyser Elementary School,Address,4310 N MELVINA AVE,60634,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,10,41.958868,202,25401,17.24,(773)534-3711,100,Smyser ES,Efficient,1,3,1134213.071616,#000000,1,,,"[-87.78198, 41.958876]",8:15/8:45 AM-3:15/3:45 PM,3:15/3:45 PM -4:15/4:45 PM OST,15 MINUTES PRIOR TO START OF SCHOOL,7735343711,"PK,K,1,2,3,4,5,6,7,8",https://smyser.org,True,776.0,491.0,35.0,492.0,181.0,https://smyser.org/apps/contact,False,True,
202,STOWE,3444 W WABANSIA AVE,Attendance Area School,"Chicago, IL",4,4,"3444 W WABANSIA AVE, 60647",Network,Magnet_Cluster_Fine_Performing_Arts||,47461,610192,Standard,Elementary School,0,1911110.080367,60647,0.53,Attendance Area School,0,HUMBOLDT PARK,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Stowe,Network ES,Network 5,M,26,,511,5,-87.713318,blue_blank,A,OPEN,Traditional,STOWE,R,Harriet Beecher Stowe Elementary School,Address,3444 W WABANSIA AVE,60647,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.911938,203,25521,100,(773)534-4175,100,Stowe ES,Underutilized,1,3,1153010.726606,#000000,1,,,"[-87.713323, 41.911946]",08:45 AM-03:45 PM,04:00 - 5:30 PM,,7735344175,"PK,K,1,2,3,4,5,6,7,8",https://stowe.cps.edu,True,558.0,436.0,47.0,487.0,16.0,https://stowe.cps.edu/apps/contact,False,True,
203,RICKOVER MILITARY HS,5700 W BERTEAU AVE,Citywide,"Chicago, IL",1,19,"5700 W BERTEAU AVE, 60621",ISP,Military Academy||,24021,610390,Standard,High School,0,1927642.669677,60634,0.78,Citywide,0,PORTAGE PARK,Far Northwest Side,District,"9, 10, 11, 12",Rickover HS,ISP HS,ISP,M,38,,506,14,-87.769938,red_circle,A,OPEN,Traditional,RICKOVER MILITARY HS,L,Hyman G Rickover Naval Academy High School,Address,5700 W BERTEAU AVE,60634,,,Citywide,HS,9-12,10,41.957599,204,45221,0,(773)534-2890,100,Rickover Naval Academy,Efficient,3,3,1137490.050626,#000000,1,,,"[-87.769943, 41.957607]",8:05 AM - 2:53 PM,3:00 PM - 6:00 PM ,7:15 AM,7735342890,"9,10,11,12",http://www.rickovernaval.org,True,523.0,360.0,13.0,409.0,82.0,http://www.rickovernaval.org/apps/contact,False,False,
204,THORP O,6024 W WARWICK AVE,Citywide,"Chicago, IL",1,19,"6024 W WARWICK AVE, 60634",ISP,Magnet_Elem_Scholastic_Academy||Comprehensive_Gifted||,1689,610201,Standard,Elementary School,0,1924339.296034,60634,1.31,Citywide,0,DUNNING,Far Northwest Side,District,"K, 1, 2, 3, 4, 5, 6, 7, 8",O. Thorp,ISP ES,ISP,M,38,Elementary Magnet,823,1,-87.777631,blue_circle,A,OPEN,Traditional,THORP O,R,Ole A Thorp Elementary Scholastic Academy,Address,6024 W WARWICK AVE,60634,,,Elementary Magnet,ES,K-8,10,41.948571,205,29301,41.38,(773)534-3640,100,"Thorp, O Elem Academy",Overcrowded,1,3,1135418.715858,#000000,1,,,"[-87.777637, 41.948579]",07:30AM - 2:30PM,PAID AFTER-CARE 5:30 PM,7:00 AM,7735343640,"K,1,2,3,4,5,6,7,8",https://oathorpacademy.org,False,830.0,313.0,67.0,452.0,242.0,https://oathorpacademy.org/apps/contact,True,False,
205,VOLTA,4950 N AVERS AVE,Attendance Area School,"Chicago, IL",2,40,"4950 N AVERS AVE, 60625",Network,,23779,610209,Standard,Elementary School,0,1932841.406983,60625,0.86,Attendance Area School,0,ALBANY PARK,Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Volta,Network ES,Network 1,M,39,,742,1,-87.724605,blue_blank,A,OPEN,Traditional,VOLTA,L,Alessandro Volta Elementary School,Address,4950 N AVERS AVE,60625,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.971634,206,25681,86.21,(773)534-5080,100,Volta ES,Efficient,1,3,1149783.856747,#000000,1,,,"[-87.724611, 41.971642]",8:00 AM-3:00 PM,3:00PM-4:30PM,7:50 AM,7735345080,"PK,K,1,2,3,4,5,6,7,8",https://volta.cps.edu,True,739.0,574.0,20.0,474.0,37.0,https://volta.cps.edu/apps/contact,True,False,
206,ALBANY PARK,4929 N SAWYER AVE,Attendance Area School,"Chicago, IL",2,40,"4929 N SAWYER AVE, 60625",Network,,45130,610212,Standard,Elementary School,0,1932821.550395,60625,0.78,Attendance Area School,1,ALBANY PARK,Northwest Side,District,"7, 8",Albany Park,Network ES,Network 1,M,33,,228,1,-87.710609,blue_blank,A,OPEN,Traditional,ALBANY PARK,R,Albany Park Multicultural Academy,Address,4929 N SAWYER AVE,60625,7-8,"7, 8",Attendance Area School,ES,7-8,20,41.971504,207,32011,48.28,(773)534-5108,100,Albany Park MS,Efficient,1,3,1153590.322231,#000000,1,,,"[-87.710615, 41.971512]",08:00 AM-03:00 PM,3:15-4:15,7:45,7735345108,"7,8",https://albanypark.cps.edu,True,248.0,221.0,9.0,205.0,10.0,https://albanypark.cps.edu/apps/contact,True,False,
207,YATES,1839 N RICHMOND ST,Attendance Area School,"Chicago, IL",4,3,"1839 N RICHMOND ST, 60647",Network,,31928,610234,Standard,Elementary School,0,1912265.814932,60647,0.25,Attendance Area School,0,LOGAN SQUARE,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Yates,Network ES,Network 5,M,26,,310,5,-87.70028,blue_blank,A,OPEN,Traditional,YATES,R,Richard Yates Elementary School,Address,1839 N RICHMOND ST,60647,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.915039,208,25911,65.52,(773)534-4550,100,Yates ES,Underutilized,1,3,1156550.966245,#000000,1,,,"[-87.700286, 41.915046]",9:00 AM - 4:00 PM,4:00 PM - 6:00 PM,8:45,7735344550,"PK,K,1,2,3,4,5,6,7,8",https://www.yateselementary.org,True,272.0,230.0,54.0,198.0,11.0,https://www.yateselementary.org/apps/contact,False,True,
208,CHICAGO ACADEMY ES,3400 N AUSTIN AVE,Citywide,"Chicago, IL",1,3,"3400 N AUSTIN AVE, 60634",Network,,39625,610248,Standard,Elementary School,0,1922328.495594,60634,0.94,Citywide,1,DUNNING,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Chi Acad ES,Network ES,Network 1,M,30,,559,1,-87.778187,blue_circle,A,OPEN,Traditional,CHICAGO ACADEMY ES,L,Chicago Academy Elementary School,Address,3400 N AUSTIN AVE,60634,,,Citywide,ES,PK-8,2,41.943056,209,45211,0,(773)534-3885,100,Chicago Academy ES,Efficient,1,3,1135280.616397,#000000,1,,,"[-87.778193, 41.943064]",08:00 AM-03:00 PM,3:00PM-5:30PM,07:45 AM,7735343885,"PK,K,1,2,3,4,5,6,7,8",http://www.chicagoacademy.org,True,549.0,291.0,15.0,406.0,102.0,http://www.chicagoacademy.org/apps/contact,False,True,
209,AVONDALE-LOGANDALE,3212 W GEORGE ST,Attendance Area School,"Chicago, IL",4,40,"3212 W GEORGE ST, 60618",Network,,19666,610325,Standard,Elementary School,0,1919149.03837,60618,0.55,Attendance Area School,0,AVONDALE,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Avondale-Logandale,Network ES,Network 4,M,35,,492,4,-87.708041,blue_blank,A,OPEN,Traditional,AVONDALE-LOGANDALE,R,Avondale-Logandale Elementary School,Address,3212 W GEORGE ST,60618,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.93397,210,41091,46.15,(773)534-5350,100,Avondale-Logandale ES,Underutilized,1,3,1154388.422341,#000000,1,,,"[-87.708047, 41.933978]",08:00 AM-03:00 PM,3:00-6:00 PM,,7735345350,"PK,K,1,2,3,4,5,6,7,8",http://avondalelogandaleschool.org/,True,462.0,391.0,50.0,396.0,7.0,http://avondalelogandaleschool.org/apps/contact,False,True,
210,CHICAGO ACADEMY HS,3400 N AUSTIN AVE,Citywide,"Chicago, IL",1,3,"3400 N AUSTIN AVE, 60634",Network,,39625,610340,Standard,High School,0,1922330.339094,60634,0.83,Citywide,1,DUNNING,Far Northwest Side,District,"9, 10, 11, 12",Chi Acad HS,Network HS,Network 14,M,30,,561,14,-87.776847,red_circle,A,OPEN,Traditional,CHICAGO ACADEMY HS,L,Chicago Academy High School,Address,3400 N AUSTIN AVE,60634,,,Citywide,HS,9-12,2,41.943054,211,46481,0,(773)534-0146,100,Chicago Academy HS,Efficient,3,3,1135645.239683,#000000,1,,,"[-87.776852, 41.943062]",08:00 AM-03:10 PM,3:10 PM - 5:00 PM,7:30 AM,7735340146,"9,10,11,12",https://chicagoacademyhs.org,True,568.0,456.0,27.0,435.0,90.0,https://chicagoacademyhs.org/apps/contact,False,True,
211,NORTH RIVER,3729 W LELAND AVE,Citywide,"Chicago, IL",2,40,"3729 W LELAND AVE, 60625",Network,,39856,610354,Standard,Elementary School,0,1930941.700808,60625,0.8,Citywide,1,ALBANY PARK,Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",North River,Network ES,Network 1,M,33,,296,1,-87.721226,blue_circle,A,OPEN,Traditional,NORTH RIVER,L,North River Elementary School,Address,3729 W LELAND AVE,60625,,,Citywide,ES,PK-8,20,41.966411,212,26841,48.28,(773)534-0590,100,North River ES,Efficient,1,3,1150718.006454,#000000,1,,,"[-87.721226, 41.966411]",07:45 AM-02:45 PM,2:45 PM TO 5:30 PM,7:30 AM,7735340590,"PK,K,1,2,3,4,5,6,7,8",https://northriveres.org,True,321.0,197.0,7.0,271.0,13.0,https://northriveres.org/apps/contact,False,True,
212,PRIETO,2231 N CENTRAL AVE,Attendance Area School,"Chicago, IL",1,3,"2231 N CENTRAL AVE, 60639",Network,,46674,610533,Standard,Elementary School,0,1914429.117036,60639,0.78,Attendance Area School,0,BELMONT CRAGIN,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Prieto,Network ES,Network 3,M,36,,751,3,-87.765781,blue_blank,A,OPEN,Traditional,PRIETO,R,Dr Jorge Prieto Math and Science,Address,2231 N CENTRAL AVE,60639,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.921318,213,22581,51.72,(773)534-0210,100,Dr Jorge Prieto Math and Science,Efficient,1,3,1138708.248321,#000000,1,,,"[-87.765786, 41.921325]",08:45 AM-03:45 PM,,,7735340210,"PK,K,1,2,3,4,5,6,7,8",http://prieto.cps.edu,True,734.0,590.0,30.0,693.0,1.0,http://prieto.cps.edu/apps/contact,False,True,
213,CAMRAS,3000 N MANGO AVE,Attendance Area School,"Chicago, IL",1,3,"3000 N MANGO AVE, 60634",ISP,Magnet_Cluster_Engineering||STEM,14563,610539,Standard,Elementary School,0,1919381.9257,60634,0.71,Attendance Area School,0,BELMONT CRAGIN,Far Northwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Camras,ISP ES,ISP,M,30,,721,3,-87.770127,blue_blank,A,OPEN,Traditional,CAMRAS,L,Marvin Camras Elementary School,Address,3000 N MANGO AVE,60634,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,2,41.934931,214,22691,0,(773)534-2960,100,Marvin Camras Elementary School,Efficient,1,3,1137492.719256,#000000,1,,,"[-87.770133, 41.934938]",08:25 AM-03:45 PM,03:45 PM - 5:00 PM ,08:20 AM,7735342960,"PK,K,1,2,3,4,5,6,7,8",http://camras.cps.edu/,True,711.0,529.0,9.0,649.0,34.0,,,,
214,LORCA,3231 N SPRINGFIELD AVE,Attendance Area School,"Chicago, IL",4,40,"3231 N SPRINGFIELD AVE, 60618",Network,,3659,610541,Standard,Elementary School,0,1921322.973983,60618,0.75,Attendance Area School,0,AVONDALE,Greater Milwaukee Avenue,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Lorca,Network ES,Network 4,M,30,,611,4,-87.724783,blue_blank,A,OPEN,Traditional,LORCA,R,Federico Garcia Lorca Elementary School,Address,3231 N SPRINGFIELD AVE,60618,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,20,41.940026,215,22341,22.22,(773)534-0950,100,Federico Garcia Lorca Elementary School,Efficient,1,3,1149817.271379,#000000,1,,,"[-87.724789, 41.940034]",08:05 AM-03:05 PM,3:05-4:05 PM,ENTRY:7:55 -7TH & 8TH; 8:00 K-6TH;8:05 PRESCHOOL,7735340950,"PK,K,1,2,3,4,5,6,7,8",https://lorca.cps.edu,True,634.0,504.0,13.0,572.0,31.0,https://lorca.cps.edu/apps/contact,False,True,
215,DISNEY II HS,3900 N LAWNDALE AVE,Citywide,"Chicago, IL",2,40,"3900 N LAWNDALE AVE, 60618",Network,Magnet_HS||,42806,610564,Standard,High School,0,1925870.694218,60618,0.82,Citywide,0,IRVING PARK,Northwest Side,District,"7, 8, 9, 10, 11, 12",Disney II HS,Network HS,Network 14,M,45,High School Magnet,744,14,-87.721364,red_circle,A,OPEN,Traditional,DISNEY II HS,L,Disney II Magnet High School,Address,3900 N LAWNDALE AVE,60618,,,High School Magnet,HS,7-12,20,41.952488,216,26921,0,(773)534-5010,100,Disney II High School,Efficient,3,3,1150715.221354,#000000,1,,,"[-87.721369, 41.952496]",8:45 AM - 3:45PM,3:45 PM -5:00 PM,08:15 AM,7735345010,"7,8,9,10,11,12",https://disneyiimagnet.org,False,719.0,430.0,134.0,407.0,131.0,https://disneyiimagnet.org/apps/contact,False,True,
216,HANCOCK HS,5437 W 64TH PL,Citywide,"Chicago, IL",12,22,"5437 W 64TH PL, 60638",Network,CTE_CCA||Selective_Enrollment_HS||,24922,609694,Standard,High School,0,1867187.946098,60638,0.81,Citywide,0,CLEARING,Greater Midway,District,"9, 10, 11, 12",Hancock HS,Network HS,Network 15,M,13,Selective Enrollment High School,1028,16,-87.758238,red_circle,A,OPEN,Traditional,HANCOCK HS,R,John Hancock College Preparatory High School,Address,5437 W 64TH PL,60638,,,Selective Enrollment High School,HS,9-12,11,41.775366,217,46021,7.69,(773)535-2410,100,Hancock Prep HS,Efficient,3,4,1150286.286189,#000000,1,,,"[-87.758243, 41.775374]",8:15AM - 3:25PM,3:30PM-4:30PM,7:30AM,7735352410,"9,10,11,12",http://www.hancockhs.org,True,1043.0,672.0,14.0,930.0,72.0,http://www.hancockhs.org/apps/contact,True,False,
217,FARRAGUT HS,2345 S CHRISTIANA AVE,Attendance Area School,"Chicago, IL",9,23,"2345 S CHRISTIANA AVE, 60623",Network,CTE_CCA||IB||,5703,609704,Standard,High School,0,1888024.25974,60623,0.26,Attendance Area School,0,SOUTH LAWNDALE,Pilsen / Little Village,District,"9, 10, 11, 12",Farragut HS,Network HS,Network 16,M,22,,489,16,-87.708706,red_blank,A,OPEN,Traditional,FARRAGUT HS,L,David G Farragut Career Academy High School,Address,2345 S CHRISTIANA AVE,60623,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,12,41.84856,218,53091,75.86,(773)534-1300,100,Farragut Career Academy,Underutilized,3,4,1154434.112867,#000000,1,,,"[-87.708711, 41.848568]",8:45AM - 3:53PM,MAIN OFFICE: OPEN UNTIL 4:15 PM,8:15AM,7735341300,"9,10,11,12",https://fcaib.org,True,431.0,386.0,48.0,377.0,2.0,https://fcaib.org/apps/contact,False,True,
