"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"DISNEY","4140 N MARINE DR","Uptown","7:30 AM - 2:30PM","7:15 AM","2:30 PM - 6:00 PM","PK-8","(773) 534-5840","https://disney.cps.edu","https://disney.cps.edu/apps/contact","","True","","","","5:45PM","Tuition Based After-School (TBAS) Program","""El programa después de clases con pago de matrícula comenzará el primer día de clases y se extenderá durante todo el año escolar, terminando el último día completo de clases; el jardín de infantes termina el día antes de la graduación. El horario del programa es de 14:30 a 17:45."" <a href=""https://www.disney.cps.edu/"">[1]</a>
","41.956824"," -87.646089"
"DISNEY II ES","3815 N KEDVALE AVE","Irving Park","08:30 AM-03:30 PM","8:00 AM","3:30 - 6:00 PM","PK-6","(773) 534-3750","https://disneyiimagnet.org","https://disneyiimagnet.org/apps/contact","","True","","","","noon on Wednesday, September 18","Kedvale After-school Programming","""Registration for the Fall 2024 after-school (OST) session will open on Sunday, September 15 at 8 pm and will close on Wednesday, September 1..."" <a href=""https://www.disneyiimagnet.org/index.jsp"">[1]</a>
""Registration for the Fall 2024 after-school (OST) session will open on Sunday, September 15 at 8 pm and will close on Wednesday, September 18 at noon."" <a href=""https://www.disneyiimagnet.org/apps/news/show_news.jsp?REC_ID=927033&id=0"">[2]</a>
","41.950468"," -87.730684"
"DIXON","8306 S SAINT LAWRENCE AVE","Chatham","08:30 AM-03:30 PM","8:20AM","3:30PM-5:00PM","PK-8","(773) 535-3834","http://www.dixoneagles.org","http://www.dixoneagles.org/apps/contact","","","","","","","","","41.743677"," -87.609985"
"DOOLITTLE","535 E 35TH ST","Douglas","08:30 AM-03:30 PM","8:15AM","3:30 - 6:00PM","PK-8","(773) 535-1040","https://doolittleelementary.org","https://doolittleelementary.org/apps/contact","True","True","8:15am","Doolittle Elementary School","""Earliest Drop Off: 8:15am"" <a href=""https://www.doolittleelementary.org/apps/bell_schedules/"">[1]</a>
","5:30pm","Doolittle Elementary School","""After School Hours: pm - 3:45pm - 5:30pm"" <a href=""https://www.doolittleelementary.org/apps/bell_schedules/"">[1]</a>
","41.831128"," -87.61228"
"DORE","7134 W 65TH ST","Clearing","7:45 AM-2:45 PM","7:30 AM","CHECK DORE CSI SCHEDULE","PK-8","(773) 535-2080","https://www.dorebulldogschicago.org","https://www.dorebulldogschicago.org/apps/contact","True","","7:30 A.M","Julia Flores","""**Earliest Drop off**

Grades K-8 7:30 A.M"" <a href=""https://www.dorebulldogschicago.org/apps/pages/index.jsp?uREC_ID=398298&type=d"">[1]</a>
","","","","41.773907"," -87.799365"
"DRAKE","2710 S DEARBORN ST","Douglas","09:00 AM-04:00 PM","8:45 AM","","PK-8","(773) 534-9129","https://drake.cps.edu","https://drake.cps.edu/contact.html","","","","","","","","","41.844051"," -87.628559"
"DRUMMOND","1845 W CORTLAND ST","Logan Square","08:30 AM-03:30 PM","8:15AM","3:30 PM - 6:00 PM","PK-8","(773) 534-4120","http://drummondschool.org","","","","","","","","","","41.915922"," -87.6745"
"DUBOIS","330 E 133RD ST","Riverdale","8:00 AM-3:00 PM","7:40 AM","3:00-5:00 PM","PK-8","(773) 535-5582","https://dubois.cps.edu","https://dubois.cps.edu/apps/contact","","True","","","","5:00 PM","After School Matters","""[K- 4th: After School Matters Begins]"" <a href=""https://www.dubois.cps.edu/apps/events/"">[1]</a>
""[K- 4th: After School Matters Begins]"" <a href=""https://www.dubois.cps.edu/apps/events/index.jsp?id=0"">[2]</a>
","41.653741"," -87.614326"
"DULLES","6311 S CALUMET AVE","Greater Grand Crossing","08:30 AM-03:30 PM","","","PK-8","(773) 535-0690","https://dullesschoolofexcellence.org","https://dullesschoolofexcellence.org/apps/contact","","","","","","","","","41.779908"," -87.61722"
"DUNNE","10845 S UNION AVE","Roseland","08:45 AM-03:45 PM","8:30 AM","","PK-8","(773) 535-5517","https://www.dunnestemacademy.org","https://www.dunnestemacademy.org/apps/contact","","","","","","","","","41.696504"," -87.639979"
"DURKIN PARK","8445 S KOLIN AVE","Ashburn","07:45 AM-02:45 PM","7:30 AM","2:45- 5:00 PM","PK-8","(773) 535-2322","https://durkinpark.com","","","","","","","","","","41.738852"," -87.729961"
"DVORAK","3615 W 16TH ST","North Lawndale","08:30 AM-03:30 PM","","","PK-8","(773) 534-1690","http://cps.edu/dvorak","http://cps.edu/dvorak/apps/contact","","","","","","","","","41.858891"," -87.715749"
"EARHART","1710 E 93RD ST","Calumet Heights","08:15 AM-03:15 PM","","","K-8","(773) 535-6416","http://earhart.cps.edu","","","","","","","","","","41.726115"," -87.582187"
"EARLE","2040 W 62ND ST","West Englewood","09:00 AM-04:00 PM","","","PK-8","(773) 535-9130","https://earlestemelementary.org","https://earlestemelementary.org/apps/contact","","","","","","","","","41.781233"," -87.675552"
"EBERHART","3400 W 65TH PL","Chicago Lawn","08:30 AM-03:30 PM","8:15 AM","3:30 PM-5:15 PM","PK-8","(773) 535-9190","http://eberhart.cps.edu","http://eberhart.cps.edu/contact/","","","","","","","","","41.774428"," -87.707958"
"EBINGER","7350 W PRATT AVE","Edison Park","8:30 AM-3:30 PM","","","K-8","(773) 534-1070","https://ebingerschool.org","https://ebingerschool.org/apps/contact","True","True","6:30 - 8:30am","Right at School","""**EARLY ADVENTURES**<br>Every day school is in session our before school program is from 6:30 - 8:30am (Please refer to the prices listed above)"" <a href=""https://www.ebingerschool.org/apps/pages/index.jsp?uREC_ID=241742&type=d"">[1]</a>
","6pm","Right at School","""Every day school is in session after school program is available from 3:30 - 6pm (Please refer to the prices listed above)"" <a href=""https://www.ebingerschool.org/apps/pages/index.jsp?uREC_ID=241742&type=d"">[1]</a>
","42.004416"," -87.811176"
"EDGEBROOK","6525 N HIAWATHA AVE","Forest Glen","08:30 AM-03:30 PM","7:00AM","3:30PM-6:00PM","PK-8","(773) 534-1194","https://edgebrookschool.org","https://edgebrookschool.org/apps/contact","True","True","Not specified","Music House","""Edgebrook partners with many organizations to provide before and after school care."" <a href=""https://www.edgebrookschool.org/apps/pages/index.jsp?uREC_ID=555902&type=d&termREC_ID=&pREC_ID=1095249&hideMenu=0"">[1]</a>
""Our Before School Group Classes focus on building skills needed to create a cohesive ensemble."" <a href=""https://www.edgebrookschool.org/apps/news/show_news.jsp?REC_ID=927703&id=0"">[2]</a>
""Edgebrook partners with many organizations to provide before and after school care."" <a href=""https://www.edgebrookschool.org/apps/pages/index.jsp?uREC_ID=256952&type=d"">[3]</a>
","Not specified","Right at School","""After School Care (On Site)"" <a href=""https://www.edgebrookschool.org/apps/pages/index.jsp?uREC_ID=555902&type=d&termREC_ID=&pREC_ID=1095249&hideMenu=0"">[1]</a>
""The Fall OST will run from September 30 - November 22. These programs are offered to the students for free."" <a href=""https://www.edgebrookschool.org/apps/news/show_news.jsp?REC_ID=927703&id=0"">[2]</a>
""Edgebrook partners with many organizations to provide before and after school care."" <a href=""https://www.edgebrookschool.org/apps/pages/index.jsp?uREC_ID=256952&type=d"">[3]</a>
","41.999445"," -87.761846"
"EDISON","4929 N SAWYER AVE","Albany Park","7:45AM - 2:45PM","7:30AM","3:00PM - 6:00PM","K-8","(773) 534-0540","https://edisongifted.com","https://edisongifted.com/apps/contact","","","","","","","","","41.971514"," -87.709309"
"EDISON PARK","6220 N OLCOTT AVE","Norwood Park","07:45 AM-02:45 PM","","","K-8","(773) 534-0960","https://edisonparkelementary.org","https://edisonparkelementary.org/apps/contact","True","True","6:45 am","EPE’s teachers and SECAs","""Beforecare starts at 6:45am ($8 per day per child)"" <a href=""https://www.edisonparkelementary.org/apps/pages/index.jsp?uREC_ID=377782&type=d"">[1]</a>
","6:00 pm","EPE’s teachers and SECAs","""Aftercare lasts until 6:00 pm ($20 per day per child)"" <a href=""https://www.edisonparkelementary.org/apps/pages/index.jsp?uREC_ID=377782&type=d"">[1]</a>
","41.994246"," -87.813777"
"EDWARDS","4815 S KARLOV AVE","Archer Heights","8:15AM - 3:30PM","","","PK-8","(773) 535-4875","https://edwards.cps.edu","https://edwards.cps.edu/apps/contact","","","","","","","","","41.805549"," -87.725862"
"ELLINGTON","243 N PARKSIDE AVE","Austin","08:00 AM-03:00 PM","","","PK-8","(773) 534-6361","https://www.ellington.cps.edu/","https://www.ellington.cps.edu/apps/contact","","True","","","","5:00 PM","OST","""Tuesday (OST) | 3:00 PM | 5:00 PM | 120 min
Thursday (OST) | 3:00 PM | 5:00 PM | 120 min"" <a href=""https://www.ellington.cps.edu/apps/bell_schedules/"">[1]</a>
","41.885537"," -87.766595"
"ERICSON","3600 W 5TH AVE","East Garfield Park","09:00 AM-04:00PM","8:45AM","4:00-6:00PM","PK-8","(773) 534-6660","http://ericson.cps.edu","","","","","","","","","","41.875752"," -87.71581"
"ESMOND","1865 W MONTVALE AVE","Morgan Park","07:45 AM-02:45 PM","7:45 AM","3:00 PM - 5:00 PM","PK-8","(773) 535-2650","https://esmond.cps.edu","https://esmond.cps.edu/apps/contact","","","","","","","","","41.689427"," -87.669164"
"EVERETT","3419 S BELL AVE","Mckinley Park","08:15 AM-03:15 PM","","","PK-5","(773) 535-4550","https://everett.cps.edu","https://everett.cps.edu/contact.html","","","","","","","","","41.831563"," -87.681316"
"EVERGREEN","3537 S PAULINA ST","Mckinley Park","08:00 AM-03:00 PM","7:20 AM","","6-8","(773) 535-4836","https://evergreenacademyms.com","https://evergreenacademyms.com/apps/contact","","","","","","","","","41.829363"," -87.667822"
"EVERS","9811 S LOWE AVE","Washington Heights","08:45 AM-03:45 PM","","4:00PM-5:00PM","PK-8","(773) 535-2565","https://www.evers.cps.edu","https://www.evers.cps.edu/apps/contact","","","","","","","","","41.715673"," -87.639311"
"FAIRFIELD","6201 S FAIRFIELD AVE","Chicago Lawn","7:45 AM-2:45 PM","","3:00PM-4:00PM","PK-8","(773) 535-9500","https://fairfieldacademy.org","https://fairfieldacademy.org/apps/contact","","","","","","","","","41.780912"," -87.692121"
"FALCONER","3020 N LAMON AVE","Belmont Cragin","07:45 AM-02:45 PM","7:20 AM","","PK-6","(773) 534-3560","https://falconerelementary.com","https://falconerelementary.com/apps/contact","","","","","","","","","41.935792"," -87.749336"
"FARADAY","3250 W MONROE ST","East Garfield Park","07:45 AM-02:45 PM","7:30","4:00-6:00","PK-8","(773) 534-6670","https://faradayelementary.org","https://faradayelementary.org/apps/contact","","","","","","","","","41.879721"," -87.708098"
"FARMER","4214 S ST LAWRENCE AVE","Grand Boulevard","08:45 AM-03:45 PM","8:15 AM","3:45-5:30","PK-8","(773) 535-1687","http://fuller.cps.edu/","http://fuller.cps.edu/apps/contact","","","","","","","","","41.818011"," -87.61179"
"FARNSWORTH","5414 N LINDER AVE","Jefferson Park","07:45 AM-02:45 PM","","","PK-8","(773) 534-3535","http://www.farnsworthschool.com","","","","","","","","","","41.979798"," -87.766077"
"FERNWOOD","10041 S UNION AVE","Washington Heights","08:30 AM-03:30 PM","7:30","3:30 - 5:00","PK-8","(773) 535-2700","http://www.fernwoodelementary.org/","http://www.fernwoodelementary.org/apps/contact","","","","","","","","","41.711191"," -87.640419"
"FIELD","7019 N ASHLAND AVE","Rogers Park","08:45 AM-03:45 PM","8:30AM","3:45-5:30PM","5-8","(773) 534-2030","https://eugenefield.org","https://eugenefield.org/apps/contact","","","","","","","","","42.009672"," -87.669991"
"FINKL","2332 S WESTERN AVE","Lower West Side","07:45 AM-02:45 PM","7:30","3:00-4:30","PK-8","(773) 535-5850","https://finklacademy.org","https://finklacademy.org/apps/contact","","","","","","","","","41.849223"," -87.685674"
"FISHER","1840 N. CLARK ST","Lincoln Park","8:30AM-3:30PM","8:30AM","3:30","PK","(773) 537-1035","https://fisherearlylearning.org","https://fisherearlylearning.org/apps/contact","","True","","","","5:30pm","Apollo Afterschool","""Sign up for After School Programming with Apollo Afterschool. Programming will be held at the school site and run from 3:30-5:30 daily."" <a href=""https://www.fisherearlylearning.org/apps/pages/index.jsp?uREC_ID=556114&type=d"">[1]</a>
","41.931372"," -87.656991"
"FISKE","6020 S LANGLEY AVE","Woodlawn","08:15 AM-03:15 PM","8:00 AM","3:15 PM - 5:00 PM","PK-8","(773) 535-0990","https://fiskeelementary.org","https://fiskeelementary.org/apps/contact","","","","","","","","","41.785191"," -87.608639"
"FORT DEARBORN","9025 S THROOP ST","Washington Heights","8:00 AM-03:00 PM","7:45 AM","3:00-5:15","PK-8","(773) 535-2680","https://fortdearborn.cps.edu","https://fortdearborn.cps.edu/apps/contact","True","True","","Sustainable Community Schools","""Sustainable Community Schools (Before/Aftercare program)"" <a href=""https://www.fortdearborn.cps.edu/apps/departments/clubs.jsp"">[1]</a>
","","Sustainable Community Schools","""Sustainable Community Schools (Before/Aftercare program)"" <a href=""https://www.fortdearborn.cps.edu/apps/departments/clubs.jsp"">[1]</a>
","41.729681"," -87.655487"
"FOSTER PARK","8530 S WOOD ST","Auburn Gresham","08:45 AM-03:45 PM","8:30AM","","PK-8","(773) 535-2725","https://fosterpark.cps.edu","https://fosterpark.cps.edu/apps/contact","","True","","","","","","""sign up for after school"" <a href=""https://www.fosterpark.cps.edu/apps/pages/index.jsp?uREC_ID=390376&type=d"">[1]</a>
","41.738433"," -87.668105"
"FRANKLIN","225 W EVERGREEN AVE","Near North Side","8:15-3:15","8:00 AM","3:15 - 6:00 PM","K-8","(773) 534-8510","https://franklinfineartscenter.net","https://franklinfineartscenter.net/apps/contact","True","True","","Right At School","""For parents who need options beyond the school day; offered Monday through Friday at Franklin until 6:00 p.m."" <a href=""https://www.franklinfineartscenter.net/apps/pages/index.jsp?uREC_ID=237976&type=d"">[1]</a>
","6:00 p.m.","Right At School","""For parents who need options beyond the school day; offered Monday through Friday at Franklin until 6:00 p.m."" <a href=""https://www.franklinfineartscenter.net/apps/pages/index.jsp?uREC_ID=237976&type=d"">[1]</a>
","41.906608"," -87.635519"
"FRAZIER PROSPECTIVE","4027 W GRENSHAW ST","North Lawndale","7:45AM - 2:45PM","07:45 AM","3:00 - 4:00","K-8","(773) 534-6880","http://fraziermagnet.cps.edu/","","True","True","6:30am","YMCA","""**On site Before and After School Car** **e**

**Provided by the YMCA**

**Monday -Friday**

**6:30am-7:45am**"" <a href=""http://fraziermagnet.cps.edu/students.html"">[1]</a>
","5:00pm","YMCA","""**On site Before and After School Car** **e**

**Provided by the YMCA**

**Monday -Friday**

**2:45pm- 5:00pm**"" <a href=""http://fraziermagnet.cps.edu/students.html"">[1]</a>
","41.866987"," -87.72725"
"FULTON","5300 S HERMITAGE AVE","New City","8:00 AM-3:00 PM","7:45 AM","3:00 PM -4:45 PM","PK-8","(773) 535-9000","https://FultonFalcons.org","https://FultonFalcons.org/apps/contact","True","True","7:45 AM","","""Earliest Drop Off: 7:45 AM"" <a href=""https://www.fultonfalcons.org/apps/bell_schedules/"">[1]</a>
","4:45 PM","","""After School Hours: 3:00 PM to 4:45 PM"" <a href=""https://www.fultonfalcons.org/apps/bell_schedules/"">[1]</a>
","41.797588"," -87.668442"
"FUNSTON","2010 N CENTRAL PARK AVE","Logan Square","08:45 AM-03:45 PM","","","PK-8","(773) 534-4125","https://funston.cps.edu","https://funston.cps.edu/apps/contact","","","","","","","","","41.917624"," -87.716897"
"GALE","1631 W JONQUIL TER","Rogers Park","08:15 AM-03:15 PM","8:00 AM","3:30 PM-5:15 PM","PK-8","(773) 534-2100","https://gale.cps.edu","https://gale.cps.edu/apps/contact","","True","","","","5:15 PM","CSI - After School Program","""CSI - After School Program
3:15 PM
5:15 PM
120 min"" <a href=""https://www.gale.cps.edu/apps/bell_schedules/"">[1]</a>
","42.021098"," -87.671945"
"GALILEO","820 S CARPENTER ST","Near West Side","07:45 AM-02:45 PM","7:15 AM","2:45 - 5:45","K-8","(773) 534-7070","https://galileoscholasticacademy.org","https://galileoscholasticacademy.org/apps/contact","True","True","7:15am","YMCA","""7:15am - Earliest student drop off"" <a href=""https://www.galileoscholasticacademy.org/apps/pages/index.jsp?uREC_ID=470489&type=d"">[1]</a>
","6:00pm","YMCA","""6:00pm Last YMCA aftercare pick up"" <a href=""https://www.galileoscholasticacademy.org/apps/pages/index.jsp?uREC_ID=470489&type=d"">[1]</a>
","41.871263"," -87.653371"
"GALLISTEL","10347 S EWING AVE","East Side","8:00 AM-3:00 PM","7:30 AM","3:00 PM-5:00 PM","PK-8","(773) 535-6540","http://gallistel.cps.edu/","","","","","","","","","","41.706809"," -87.535181"
"GARVEY","10309 S MORGAN ST","Washington Heights","08:00 AM-03:00 PM","7:45","","PK-8","(773) 535-2763","https://garvey.cps.edu","https://garvey.cps.edu/apps/contact","","","","","","","","","41.706611"," -87.647583"
"GARVY","5225 N OAK PARK AVE","Norwood Park","08:30 AM-03:30 PM","8:15 AM","","K-8","(773) 534-1185","https://garvyschool.org","https://garvyschool.org/apps/contact","True","True","","Right at School","""Garvy School is proud to offer before and aftercare at school hosted by Right at School."" <a href=""https://garvyschool.org/apps/pages/index.jsp?uREC_ID=1185157&type=d&pREC_ID=2475153"">[1]</a>
""RAS: Before and After School Care"" <a href=""https://garvyschool.org/apps/news/rss?categoryid=11555"">[2]</a>
","","Right at School","""Garvy School is proud to offer before and aftercare at school hosted by Right at School."" <a href=""https://garvyschool.org/apps/pages/index.jsp?uREC_ID=1185157&type=d&pREC_ID=2475153"">[1]</a>
""RAS: Before and After School Care"" <a href=""https://garvyschool.org/apps/news/rss?categoryid=11555"">[2]</a>
","41.97636"," -87.796241"
"GARY","3740 W 31ST ST","South Lawndale","07:45 AM-02:45 PM","7:30 AM","2:45-5:30 PM","PK","(773) 534-1455","http://www.gary.cps.edu","","","","","","","","","","41.837073"," -87.718702"
"GILLESPIE","9301 S STATE ST","Roseland","08:00 AM-03:00 PM","07:45 AM","03:15 PM - 05:15 PM","PK-8","(773) 535-5065","https://gillespietech.org","https://gillespietech.org/apps/contact","","","","","","","","","41.72534"," -87.623725"
"GINSBURG","1003 N LEAVITT ST","West Town","07:45 AM-02:45 PM","7:30 AM","3:00 - 4:30 PM (AFTER CARE RUNS UNTIL 5:45)","PK-8","(773) 534-4350","http://columbus.cps.edu","http://columbus.cps.edu/contact/","","True","","","","","Ms. Gaby, Miss Jessie","""After School (per week)

5 days/week     $75

4 days/week     $68

3 days/week     $57

2 days/week     $42

1 day/week      $23

Drop Ins: $25/session*"" <a href=""http://columbus.cps.edu/after-school-care.html"">[1]</a>
","41.899574"," -87.681944"
"GOETHE","2236 N ROCKWELL ST","Logan Square","07:45 AM-02:45 PM","","3:00-6:00 PM","PK-8","(773) 534-4135","https://goethe.cps.edu","https://goethe.cps.edu/apps/contact","","","","","","","","","41.922839"," -87.692905"
"GOUDY","5120 N WINTHROP AVE","Uptown","08:00 AM-03:00 PM","","","PK-8","(773) 534-2480","https://goudy.cps.edu","https://goudy.cps.edu/apps/contact","","True","","","","4:15 PM","OST Programs","""Fall programs will run Monday - Thursday, starting 9/30/24 - 11/21/24 from 3:15 PM - 4:15 PM."" <a href=""https://www.goudy.cps.edu/apps/pages/index.jsp?uREC_ID=382058&type=d"">[1]</a>
""SEAC provides after-school care to many of our students"" <a href=""https://www.goudy.cps.edu/apps/pages/index.jsp?uREC_ID=421578&type=d"">[2]</a>
","41.975824"," -87.657918"
"GRAHAM ES","4436 S UNION AVE","New City","07:45 AM-02:45 PM","7:30 AM","","PK-8","(773) 535-1308","https://grahames.org","https://grahames.org/apps/contact","","","","","","","","","41.813312"," -87.64335"
"GRAY","3730 N LARAMIE AVE","Portage Park","8:00 AM-3:00 PM","","","PK-8","(773) 534-3520","https://gray.cps.edu","https://gray.cps.edu/apps/contact","True","True","","OST","""Gray's OST program exists to provide opportunities for our students to enroll in high-quality before and after school programming that helps students stay engaged in school, discover new passions, and form positive relationships."" <a href=""https://gray.cps.edu/apps/pages/index.jsp?uREC_ID=4355871&type=d&pREC_ID=2549433"">[1]</a>
""# Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events/2024/9/16/17428676/?id=0"">[2]</a>
""Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events"">[3]</a>
""Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events/"">[4]</a>
""OST Before and After School Programs"" <a href=""https://gray.cps.edu/apps/news/rss?categoryid=22665"">[5]</a>
","","Apollo After School","""We provide extracurricular programs that give your children affordable, safe, reliable and convenient after-school care at our school."" <a href=""https://gray.cps.edu/apps/pages/index.jsp?uREC_ID=4355871&type=d&pREC_ID=2549433"">[1]</a>
""# Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events/2024/9/16/17428676/?id=0"">[2]</a>
""Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events"">[3]</a>
""Season 1 - OST Begins (Before & After School programs)"" <a href=""https://gray.cps.edu/apps/events/"">[4]</a>
""OST Before and After School Programs"" <a href=""https://gray.cps.edu/apps/news/rss?categoryid=22665"">[5]</a>
","41.948771"," -87.757121"
"GREELEY","832 W SHERIDAN RD","Lake View","9:00 AM-4:00 PM","8:30 AM","","PK-8","(773) 534-5800","https://greeleyelementary.com","https://greeleyelementary.com/apps/contact","True","True","","","""Our before and after-school programs, as well as our summer programming, offer additional opportunities for growth and exploration."" <a href=""https://www.greeleyelementary.com/announcements/principals-message/"">[1]</a>
","","","""Our before and after-school programs, as well as our summer programming, offer additional opportunities for growth and exploration."" <a href=""https://www.greeleyelementary.com/announcements/principals-message/"">[1]</a>
","41.952817"," -87.650986"
"GREEN","1150 W 96TH ST","Washington Heights","08:45 AM-03:45 PM","","","PK-8","(773) 535-2575","https://wendellgreenschool.com","https://wendellgreenschool.com/apps/contact","","","","","","","","","41.7193"," -87.652506"
"GREENE","3525 S HONORE ST","Mckinley Park","08:00 AM-03:00 PM","","","PK-5","(773) 535-4560","https://greene.cps.edu","https://greene.cps.edu/apps/contact","","","","","","","","","41.829677"," -87.671498"
"GREGORY","3715 W POLK ST","East Garfield Park","08:45 AM - 03:45 PM","8:30 AM","03:30 PM-05:15 PM","PK-8","(773) 534-6820","https://gregoryacademy.org","https://gregoryacademy.org/apps/contact","","","","","","","","","41.87075"," -87.718672"
"GRESHAM","8524 S GREEN ST","Auburn Gresham","08:45 AM-03:45 PM","8:30","3:4 5 PM - 5:00 PM","PK-8","(773) 535-3350","http://Greshamschool.org","http://Greshamschool.org/apps/contact","","","","","","","","","41.738928"," -87.645031"
"GRIMES","5450 W 64TH PL","Clearing","08:00 AM-03:00 PM","7:45 AM","3:00-4:00","PK-8","(773) 535-2364","https://grimes.cps.edu/","https://grimes.cps.edu/apps/contact","","","","","","","","","41.775472"," -87.758809"
"GRISSOM","12810 S ESCANABA AVE","Hegewisch","7:45 AM-2:45 PM","","","PK-8","(773) 535-5380","https://grissom.cps.edu","https://grissom.cps.edu/apps/contact","","","","","","","","","41.662489"," -87.553312"
"GUNSAULUS","4420 S SACRAMENTO AVE","Brighton Park","7:30 AM-2:30 PM","7:15AM","","PK-8","(773) 535-7215","https://gunsaulus.org","https://gunsaulus.org/apps/contact","True","True","","","""our before- and after-school programming supports students to explore their passions such as ceramics, band, chorus, student council, and anime."" <a href=""https://www.gunsaulus.org/apps/pages/index.jsp?uREC_ID=200710&type=d&termREC_ID=&pREC_ID=401084"">[1]</a>
","","","""our before- and after-school programming supports students to explore their passions such as ceramics, band, chorus, student council, and anime."" <a href=""https://www.gunsaulus.org/apps/pages/index.jsp?uREC_ID=200710&type=d&termREC_ID=&pREC_ID=401084"">[1]</a>
","41.813015"," -87.69937"
"HAINES","247 W 23RD PL","Armour Square","7:45 AM-2:45 PM","7:40 AM","2:45 PM - 6:00 PM","PK-8","(773) 534-9200","http://haines.cps.edu","","","","","","","","","","41.849966"," -87.633812"
"HALE","6140 S MELVINA AVE","Clearing","07:45 AM-02:45 PM","7:25","","PK-8","(773) 535-2265","https://haleschool.org","https://haleschool.org/apps/contact","","True","","","","","Right at School","""Right at School - After School Program"" <a href=""https://www.haleschool.org/apps/news/show_news.jsp?REC_ID=920185&id=0"">[1]</a>
","41.7802"," -87.776584"
"HALEY","11411 S EGGLESTON AVE","Roseland","08:45 AM-03:45 PM","","3:45PM - 5:15PM ","PK-8","(773) 535-5340","https://www.alexhaleyacademy.com","https://www.alexhaleyacademy.com/apps/contact","","","","","","","","","41.686668"," -87.633638"
"HAMILTON","1650 W CORNELIA AVE","Lake View","07:45 AM-02:45 PM","7:30 AM","2:45 PM - 6:00 PM","PK-8","(773) 534-5484","https://hamiltoncps.org","https://hamiltoncps.org/apps/contact","","","","","","","","","41.945228"," -87.670871"
"HAMLINE","4747 S BISHOP ST","New City","7:45AM - 2:45PM","7:30 AM","2:45 PM - 4:30 PM","PK-8","(773) 535-4565","https://hamlinehawks.org","https://hamlinehawks.org/apps/contact","","True","","","","","","""Please click HERE to view our current after-school activities in English and Spanish."" <a href=""https://www.hamlinehawks.org/apps/pages/index.jsp?uREC_ID=477371&type=d"">[1]</a>
","41.807249"," -87.66118"
"HAMMOND","2819 W 21ST PL","South Lawndale","07:30 AM-02:30 PM","7:30 AM","2:30 PM - 5:30 PM","PK-8","(773) 535-4580","http://hammond.cps.edu","","True","True","8:00 am","Carole Robertson Center for Learning","""The Carole Robertson Center for Learning partners with Hammond for before and after school child care services outside of the school. The Carole Robertson Center brings our Hammond students to school in the morning as needed, and they pick up students from Hammond to take to the Carole Robertson Center for after school child care."" <a href=""http://hammond.cps.edu/hammond-community-connections.html"">[1]</a>
","5:00 pm","Carole Robertson Center for Learning","""The Carole Robertson Center for Learning partners with Hammond for before and after school child care services outside of the school. The Carole Robertson Center brings our Hammond students to school in the morning as needed, and they pick up students from Hammond to take to the Carole Robertson Center for after school child care."" <a href=""http://hammond.cps.edu/hammond-community-connections.html"">[1]</a>
","41.852727"," -87.696249"
"HAMPTON","3434 W 77TH ST","Ashburn","08:05 AM-03:05 PM","","","PK-8","(773) 535-4030","https://hamptoncps.org","https://hamptoncps.org/apps/contact","","True","","","","June","Safe Haven","""Safe Haven after-school programming engages students in academic and recreational activities that fosters the development of peer and mentor relationships to help students stay on track at school."" <a href=""https://www.hamptoncps.org/apps/news/show_news.jsp?REC_ID=919183&id=0"">[1]</a>
","41.753465"," -87.708737"
"HANSON PARK","5411 W FULLERTON AVE","Belmont Cragin","9:00 AM - 4:00 PM","8:45 AM","4:00 PM - 5: 30 PM","PK-8","(773) 534-3100","https://hanson.cps.edu","https://hanson.cps.edu/apps/contact","True","True","8:40 AM","","""Earliest Drop Off | 8:40 AM | — | —"" <a href=""https://www.hanson.cps.edu/apps/bell_schedules/"">[1]</a>
","5:15 PM","","""After School Hours | 4:00 PM | 5:15 PM | 75 min"" <a href=""https://www.hanson.cps.edu/apps/bell_schedules/"">[1]</a>
","41.923963"," -87.761521"
"HARTE","1556 E 56TH ST","Hyde Park","08:15 AM-03:15 PM","7:45 AM","3:15 PM - 4:30 PM","PK-8","(773) 535-0870","http://www.harte.cps.edu","http://www.harte.cps.edu/apps/contact","True","True","7:45 am","School Staff","""Staff supervision of students starts at 7:45 am, and students are not permitted to enter the building before 7:45 am."" <a href=""https://www.harte.cps.edu/apps/pages/index.jsp?uREC_ID=563853&type=d"">[1]</a>
","6:00 pm","Tuition-based after-care services","""Tuition-based after-care services are available to support families until 6:00 pm."" <a href=""https://www.harte.cps.edu/apps/pages/index.jsp?uREC_ID=563853&type=d"">[1]</a>
","41.793455"," -87.58686"
